FlightID,Code,seatsAvail,authLevel,resHoldTotal,reportDt,orig,dest,DptDt,Carrier,fltNr,opsSuffix,fltNrDptDt,fltNrArrDt,DptTime,ArrTime
74,Y,55,275,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,02:44:00
74,B,0,275,0,2016-05-28,RZN1,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,04:32:00
74,Y,55,275,0,2016-05-28,RZN1,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,04:32:00
74,B,0,275,0,2016-05-28,RZN1,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,05:25:00
74,Y,55,275,0,2016-05-28,RZN1,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,05:25:00
74,B,0,275,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,07:08:00
74,Y,54,275,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,07:08:00
74,B,0,275,1,2016-05-28,RZN1,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,08:24:00
74,Y,54,275,1,2016-05-28,RZN1,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,08:24:00
74,B,0,275,16,2016-05-28,RZN1,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,09:09:00
74,Y,54,275,12,2016-05-28,RZN1,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,09:09:00
74,B,8,275,0,2016-05-28,SASOV,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,00:24:00
74,Y,65,275,0,2016-05-28,SASOV,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,00:24:00
74,B,7,275,0,2016-05-28,SASOV,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,01:29:00
